id,Score,Start Date,Popularity,index,x,y,vy,vx,size
Hikaru no Go,8.12,1998,44640,60,603.9794247,764.4314381,-5.22E-20,-5.54E-08,44640
Teasing Master Takagi-san,8.09,2012,75218,61,823.4342567,790.3203836,-2.59324E-05,2.0843E-05,75218
Princess Jellyfish,8.25,2008,39596,62,758.962762,733.5427452,1.97618E-05,2.00388E-05,39596
Space Brothers,8.78,2007,33261,63,743.3962264,459.1538462,4.72E-18,9.45E-18,33261
Nodame Cantabile,8.41,2001,26413,64,652.3916623,629.4063464,-4.28E-08,-1.05028E-06,26413
Dead Dead Demons Dededede Destruction,8.23,2014,67236,65,830.1958891,696.695838,-4.84369E-05,0.000111929,67236
Kodocha: Sana's Stage,8.3,1994,21506,66,542.3979021,663.9780936,-4.19646E-06,-1.39197E-06,21506
Cross Game,8.48,2005,20344,67,693.4130782,608.9076082,6.76396E-06,3.2961E-05,20344
Rainbow: Nisha Rokubou no Shichinin,8.47,2002,32396,68,663.6719337,599.276161,9.56E-06,3.14088E-05,32396
The Quintessential Quintuplets,7.93,2017,161958,69,900.2538818,829.4540319,1.02399E-05,-1.2238E-05,161958
Red River,8.31,1995,22786,70,566.9219545,681.4562599,1.39858E-06,4.68505E-06,22786
Trigun Maximum,8.24,1997,26660,71,584.6297651,711.8102243,1.74998E-06,-2.84637E-06,26660
Tokyo Revengers,7.92,2017,217914,72,902.7682393,885.6976515,2.71701E-05,3.73507E-06,217914
Blank Canvas: My So-Called Artist's Journey,8.54,2011,25679,73,832.4013749,576.344496,-1.54095E-05,0.00010436,25679
Ace of the Diamond,8.22,2006,22120,74,729.0710353,721.0152227,-2.24811E-05,7.44169E-06,22120
Doraemon,8.44,1969,13837,75,155.4716981,616.4180602,-6.30E-18,-3.15E-18,13837
We Were There,7.99,2002,47855,76,667.4397288,835.3744579,3.81375E-05,7.83114E-06,47855
Skip and Loafer,8.55,2018,27948,77,946.8568342,566.6781651,7.41279E-06,2.46417E-05,27948
My Love Story!!,8.1,2011,32653,78,795.3545403,765.7328649,-2.42064E-05,-4.09123E-06,32653
Baby Steps,8.13,2007,24813,79,743.7512057,762.6182274,-6.28632E-06,-7.71482E-06,24813
Kekkaishi,7.99,2004,29305,80,700.685778,826.7549573,0.000161547,2.67591E-05,29305
Bleach,7.84,2001,368367,81,645.1255821,884.8832724,9.49E-07,-1.05229E-05,368367
Basara,8.4,1990,22417,82,492.0895059,627.9168065,-2.26391E-06,3.78631E-06,22417
InuYasha,7.86,1996,63442,83,566.6613785,880.1083434,1.18999E-05,-8.27429E-06,63442
"Sayonara, Zetsubou-Sensei",8.15,2005,29465,84,712.9741912,755.6241931,-9.50568E-06,6.2375E-06,29465
Black Jack,8.36,1973,21277,85,217.3584906,653.4214047,-9.45E-18,-2.36E-18,21277
Secret Unrequited Love,8.03,2005,21308,86,717.6763319,800.8123463,-5.88681E-05,-9.05404E-06,21308
Honey and Clover,8.28,2000,22584,87,646.1818045,695.2183534,4.48838E-06,7.98048E-06,22584
From Far Away,8.35,1991,15135,88,495.8490566,658.0468227,9.45E-18,9.45E-18,15135
Gambling Apocalypse Kaiji,8.41,1996,18382,89,573.8333173,613.1511987,-1.28685E-05,5.30E-07,18382
Kitchen Princess,7.91,2004,23453,90,708.736467,857.0427495,-4.85499E-05,9.81596E-06,23453
Boys Over Flowers,7.92,1992,24920,91,511.3207547,856.9397993,-1.26E-17,-3.15E-18,24920
Love Hina,7.8,1998,66528,92,595.6072528,911.2475956,-3.07867E-05,-2.47387E-05,66528
Air Gear,7.79,2002,81086,93,675.6430973,933.4131339,7.97037E-06,9.99595E-06,81086
Historie,8.2,2003,23216,94,676.3149455,720.4959218,-3.47989E-06,1.03061E-05,23216
Touch,8.34,1981,12537,95,341.1320755,662.6722408,-6.30E-18,-6.30E-18,12537
Astra Lost in Space,8.01,2016,18548,96,868.0055685,803.8838813,-9.23704E-06,-5.43065E-06,18548
Message to Adolf,8.18,1982,21723,97,356.6037736,736.6789298,-9.45E-18,-4.72E-18,21723
Tramps Like Us,7.97,2000,21354,98,634.28063,833.7762564,-4.99E-07,-8.75494E-06,21354
Forest of Piano,8.33,1998,14946,99,603.0513247,660.948794,-1.34084E-06,4.86E-07,14946
7 Seeds,8.21,2001,21767,100,646.485135,725.3421708,7.50E-07,-1.38589E-05,21767
My Love Mix-Up!,8.35,2019,14037,101,940.0384281,655.604946,-1.87674E-05,6.98094E-05,14037
Life,8,2002,17646,102,651.4229947,806.9936391,-3.19046E-05,-2.46325E-05,17646
Shugo Chara!,7.72,2005,37652,103,711.2349996,947.8677274,4.71358E-06,1.9439E-05,37652
Mobile Suit Gundam: The Origin,8.55,2001,14294,104,650.5660377,565.5384615,-1.26E-17,-9.45E-18,14294
After the Rain,7.77,2014,32433,105,845.5514513,921.9622132,-2.49156E-06,-2.25611E-06,32433
I Am a Hero,7.68,2009,98425,106,785.5727818,974.6666682,-1.21026E-05,-3.77686E-06,98425
Sand Chronicles,8.01,2003,14684,107,679.5110375,805.6797067,-5.92449E-05,-6.00051E-05,14684
Our Precious Conversations,7.87,2015,20515,108,858.8493048,878.9984711,7.07E-08,2.59853E-06,20515
Blue Giant,8.46,2013,16756,109,845.3236768,603.145855,-5.09534E-05,6.44824E-05,16756
"Love Me, Love Me Not",7.75,2015,29018,110,872.0263808,940.8735074,3.51786E-06,-1.38382E-06,29018
Iryuu: Team Medical Dragon,8.16,2002,11522,111,659.477936,750.3238137,7.33725E-06,-7.04897E-06,11522
Knights of Sidonia,7.73,2009,30849,112,785.7985804,935.7681737,-1.8326E-05,1.11109E-05,30849
Yowamushi Pedal,7.99,2008,14185,113,765.4490055,819.8806305,-1.15449E-06,6.69614E-06,14185
Saint Young Men,7.86,2006,26200,114,732.9804899,881.8263719,-2.38E-07,7.03771E-06,26200
Sunny,8.26,2010,18308,115,796.2400903,690.2624221,5.69339E-06,0.000129478,18308
Giant Killing,7.99,2007,12185,116,739.3387817,826.7366514,-2.341E-05,-4.31731E-06,12185
Cromartie High School,8.12,2000,13165,117,635.3966607,764.4314381,-9.36E-18,9.77E-08,13165
Black Bird,7.6,2006,49248,118,712.9694066,983.3618105,2.15566E-05,-1.62143E-05,49248
Fairy Tail,7.56,2006,265202,119,729.7944949,1030.69792,3.07724E-05,-8.20703E-06,265202
Dr. Slump,7.71,1980,15107,120,329.4089848,954.0735786,3.33E-16,1.21185E-06,15107
Origin,7.64,2016,29175,121,882.6415094,986.451505,-9.45E-18,-1.26E-17,29175
Prison School,7.5,2011,131650,122,784.3653471,1046.062406,3.78298E-06,2.04113E-06,131650
Ookiku Furikabutte,8.18,2003,9504,123,685.1287812,746.9969194,-6.33863E-06,-1.17651E-05,9504
The Seven Deadly Sins,7.49,2012,175913,124,830.6904682,1070.369906,-7.53335E-06,1.89698E-05,175913
"Kiss Him, Not Me",7.52,2013,49145,125,845.9081006,1027.070519,-1.23724E-05,3.74976E-05,49145
Zankoku na Kami ga Shihai suru,8.17,1992,9082,126,515.7329449,749.0472463,3.88127E-06,6.6966E-06,9082
A Condition Called Love,7.77,2017,16679,127,899.9602896,929.3900217,1.76833E-05,3.6426E-06,16679
Takemitsuzamurai,8.29,2006,13020,128,727.4201605,664.0849728,1.71496E-05,4.11859E-05,13020
Oh! My Goddess,7.59,1988,17256,129,449.4339623,1009.578595,-1.26E-17,-6.30E-18,17256
Those Obnoxious Aliens,7.8,1978,11713,130,294.7169811,912.4448161,-1.26E-17,-4.72E-18,11713
Ceres: Celestial Legend,7.57,1996,14071,131,573.2075472,1016.746586,-6.73E-07,1.79E-17,14071
Bambino!,7.89,2004,7154,132,692.9736014,879.4209187,-2.76343E-05,3.32411E-05,7154
Ushio and Tora,7.87,1990,8484,133,480.3773585,880.0668896,-1.26E-17,-6.30E-18,8484
Sugar Sugar Rune,7.61,2003,10869,134,680.3771517,997.8439926,-2.18409E-05,3.27512E-06,10869
SoreMachi: And Yet the Town Moves,8.17,2005,8576,135,702.7000245,728.9461446,-3.17773E-05,-1.81141E-05,8576
Yakitate!! Japan,7.55,2002,12512,136,664.1390019,1018.637527,-2.62609E-05,-3.76964E-06,12512
Altair: A Record of Battles,8.03,2007,13046,137,746.0782254,800.8271981,1.05575E-05,1.55949E-05,13046
The Kindaichi Case Files,8.11,1992,6366,138,510.4934155,772.9841665,3.20E-07,-9.66E-07,6366
Missions of Love,7.43,2009,59330,139,781.439666,1090.226451,4.97594E-06,-1.75561E-06,59330
Sgt. Frog,7.65,1999,7412,140,609.8389865,986.5791391,1.53657E-06,-3.16286E-06,7412
Zekkyou Gakkyuu,7.72,2008,10620,141,759.8239064,950.1206294,-4.07755E-05,8.53716E-06,10620
Perfect World,7.55,2014,19957,142,878.9685685,1028.852258,2.21112E-05,5.15969E-05,19957
Basilisk: The Kouga Ninja Scrolls,7.47,2003,16292,143,671.6523947,1065.534833,-8.046E-06,-4.79403E-05,16292
Major,8.16,1994,6149,144,540.615467,746.9155468,3.19E-07,-5.33E-07,6149
Shangri-La Frontier,7.76,2020,8623,145,944.5283019,930.9464883,-9.45E-18,-1.26E-17,8623
Animal Land,7.83,2009,5903,146,780.1775704,897.4826075,3.91832E-06,1.8496E-05,5903
Dream-Colored Pastry Chef,7.81,2008,6465,147,756.7376046,900.8858088,-3.64266E-05,1.03291E-05,6465
Helter Skelter: Fashion Unfriendly,7.45,1995,17392,148,557.7358491,1074.334448,-1.26E-17,-9.45E-18,17392
Thermae Romae,7.72,2008,7655,149,759.4079622,924.912388,-4.24219E-05,1.23871E-05,7655
Days,7.58,2013,8772,150,836.5875922,997.5804643,-3.26016E-06,-1.4783E-05,8772
Be Blues! Ao ni Nare,7.93,2011,4783,151,805.2830189,852.3143813,-9.45E-18,-9.45E-18,4783
Candy Candy,7.99,1975,4386,152,248.3018868,824.5618729,-1.26E-17,-1.57E-18,4386
Silver Fang: The Shooting Star Gin,8.12,1983,4176,153,372.0754717,764.4314381,-1.26E-17,-6.30E-18,4176
Kaze to Ki no Uta,8.1,1976,8162,154,263.7735849,773.6822742,-9.45E-18,-1.57E-18,8162
Descending Stories: Showa Genroku Rakugo Shinju,8.28,2010,8155,155,812.8544709,669.2109503,-2.73203E-05,0.000123653,8155
IS: Otoko demo Onna demo Nai Sei,7.84,2003,6482,156,689.4598497,903.2087597,-3.32276E-05,1.25179E-05,6482
A Drifting Life,7.97,2008,6211,157,757.4802242,844.1549147,1.56932E-05,9.47791E-06,6211
Shut Hell,7.68,2008,7736,158,737.2937284,961.4826297,-2.11063E-05,2.22834E-05,7736
Oooku: The Inner Chambers,8.06,2004,9787,159,695.3795788,784.3739892,-1.12069E-05,3.77782E-05,9787
Bokkou,7.7,1992,5543,160,512.9504112,955.5791208,-2.7067E-06,1.35694E-06,5543
Antique Bakery,7.65,1999,4494,161,630.9743439,976.311253,-1.78284E-06,3.66978E-06,4494
3x3 Eyes,7.5,1987,8564,162,436.2289671,1050.978751,-2.68E-07,6.82E-07,8564
Wild Life,7.71,2003,4442,163,684.6559791,964.7219123,2.08E-07,-2.19111E-06,4442
Medalist,8.44,2020,8051,164,944.5283019,616.4180602,9.45E-18,-6.30E-18,8051
Capeta,8.15,2003,4369,165,675.3533743,768.8900257,-1.22061E-06,-1.46005E-05,4369
Jin,7.82,2000,5676,166,623.051791,927.2085563,-2.00452E-06,-3.35382E-06,5676
Peach Girl,7.31,1997,14326,167,598.6725066,1137.965637,-4.59E-07,-3.07012E-06,14326
Kanojo wa Uso wo Aishisugiteru,7.56,2009,7422,168,781.0049502,1009.165678,-5.72717E-06,-4.68002E-06,7422
My Boy in Blue,7.39,2012,11388,169,818.594337,1109.108931,-1.15975E-05,2.72712E-06,11388
Q.E.D.: Shoumei Shuuryou,7.83,1997,4185,170,564.3470733,911.00583,1.46418E-05,-2.46977E-05,4185
Town of Evening Calm,7.36,2003,8306,171,682.9139398,1120.648571,8.27878E-06,1.22811E-05,8306
Joou no Hana,7.73,2007,6983,172,738.403171,937.1685789,-3.90304E-05,1.43986E-05,6983
Piece,7.7,2008,4497,173,752.050167,979.8789957,2.3571E-05,-5.85902E-06,4497
Maiko-san Chi no Makanai-san,7.9,2016,5286,174,873.2849691,856.9251903,1.98271E-06,1.1303E-05,5286
GS Mikami: Gokuraku Daisakusen!!,7.71,1991,3382,175,490.4831677,953.5624444,6.17E-07,-2.23266E-06,3382
Domu: A Child's Dream,7.29,1980,11114,176,319.6616122,1144.430762,4.19E-09,-5.56765E-06,11114
To Terra...,7.7,1976,4121,177,263.7735849,958.6989967,-1.26E-17,-3.15E-18,4121
Kaze Hikaru,7.83,1997,4928,178,597.8964604,879.81738,-3.71488E-05,-7.9578E-06,4928
Appleseed,7.34,1985,8951,179,403.1309246,1125.383649,1.80E-07,1.75E-07,8951
Dragon Head,7.2,1994,24240,180,543.8323659,1188.764416,-4.22E-07,7.11E-07,24240
Azumi,7.74,1994,4525,181,542.2641509,940.1973244,-9.45E-18,-3.15E-18,4525
Kinnikuman,7.71,1979,4032,182,304.3869403,954.0735786,-4.87E-16,-1.87559E-06,4032
Ao no Orchestra,7.5,2017,5817,183,903.6389172,1055.88386,1.19636E-05,3.53121E-05,5817
The Black Swindler,7.4,2003,7564,184,674.3481836,1097.543421,2.75996E-05,-5.10245E-05,7564
Don't Call It Mystery,8.18,2017,5852,185,887.3701691,729.1743132,2.77627E-05,4.28011E-05,5852
Golgo 13,7.85,1968,5715,186,140,889.3177258,-9.45E-18,-1.57E-18,5715
Yaiba,7.46,1988,3032,187,449.6230166,1069.976596,3.03E-07,2.02E-07,3032
King Golf,7.6,2008,2936,188,759.7899664,1000.512922,1.47013E-05,-1.24745E-05,2936
Saturn Apartments,7.49,2005,5318,189,714.5513314,1071.346617,2.22834E-05,-4.12642E-05,5318
Baby & Me,7.65,1991,2508,190,495.8490566,979.4385477,-7.72E-07,-1.27E-17,2508
The Strange Tale of Panorama Island,7.45,2008,3780,191,750.9858374,1090.665269,1.36529E-05,-4.4172E-06,3780
Moyasimon: Tales of Agriculture,7.51,2004,4814,192,695.9604818,1057.8022,3.70651E-06,-4.63485E-05,4814
Orb: On the Movements of the Earth,7.92,2020,4114,193,944.5283019,856.9397993,-1.26E-17,2.20E-17,4114
Disappearance Diary,7.52,2005,2838,194,687.7924916,1037.265572,-1.87647E-05,-2.62356E-05,2838
Yamikin Ushijima-kun,7.48,2004,8004,195,692.8231642,1081.35334,1.54059E-05,-5.43144E-05,8004
Cheeky Angel,7.34,1999,3930,196,619.8891178,1125.051844,-2.24854E-06,3.69458E-06,3930
Hozuki's Coolheadedness,7.64,2011,5329,197,812.5439536,995.6913803,1.1079E-05,-1.15665E-05,5329
Ironfist Chinmi,7.7,1984,1786,198,387.5471698,958.6989967,-1.26E-17,-6.30E-18,1786
Bara no Tame ni,7.54,1992,2383,199,511.3207547,1032.705686,-1.26E-17,-1.57E-18,2383
Kocchi Muite! Miiko,8.1,1995,1106,200,557.7358491,773.6822742,-9.45E-18,-1.26E-17,1106
Firefighter! Daigo of Fire Company M,8.18,1995,2510,201,559.81541,735.4355189,-4.02E-07,6.72E-07,2510
Yawara!,7.42,1986,6032,202,416.6689705,1087.010196,-6.97E-07,-4.49E-07,6032
Ginga Tetsudou 999,8,1977,2714,203,279.245283,819.9364548,-1.26E-17,-4.72E-18,2714
Zipang,7.59,2000,3128,204,635.0943396,1009.578595,1.26E-17,-1.78E-93,3128
Shinya Shokudou,7.73,2006,2698,205,718.2337561,921.0143719,-9.74388E-06,6.27476E-06,2698
Project ARMS,7.36,1997,3266,206,588.8119069,1115.445961,9.77E-07,7.22E-07,3266
"Captivated, by You",7.45,2019,1936,207,928.2936008,1078.515859,3.93E-07,1.77704E-06,1936
What Did You Eat Yesterday?,7.49,2007,4233,208,737.2871837,1073.09361,3.48487E-05,-1.45954E-05,4233
Miyuki,7.28,1980,2545,209,332.8850754,1164.005987,2.62E-07,6.62337E-06,2545
Ryuurouden,7.68,1993,2191,210,527.2055253,972.3855724,2.95989E-06,1.05E-08,2191
Shanaou Yoshitsune,7.78,2000,1503,211,644.4395316,930.9386507,2.41E-07,-8.74856E-06,1503
The Poe Clan,7.74,1972,2682,212,201.8867925,940.1973244,-1.26E-17,-7.87E-19,2682
Hibiki: Shousetsuka ni Naru Houhou,7.48,2014,2999,213,868.8933492,1070.665469,1.23091E-05,1.77313E-05,2999
Chocolat no Mahou,7.41,2008,2229,214,759.4788369,1110.375119,2.15338E-05,1.30714E-05,2229
Mobile Police Patlabor,7.73,1988,2270,215,449.4339623,944.8227425,-9.45E-18,-3.15E-18,2270
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.56,1976,2814,216,263.7735534,1030.193727,2.17855E-06,1.94E-10,2814
They Were 11,7.18,1975,3212,217,246.9715942,1198.425327,-2.57E-07,-4.30E-07,3212
How Many Light-Years to Babylon?,7.15,2017,2479,218,896.507956,1213.576896,1.55E-07,-5.19E-07,2479
It's Not Like That,7.25,2002,2341,219,661.5044823,1167.659024,1.1162E-06,-1.65564E-06,2341
Showa: A History of Japan,7.94,1988,2197,220,449.4339623,847.6889632,-9.45E-18,-4.72E-18,2197
What's Michael?,7.48,1984,1630,221,387.5471698,1060.458194,-1.89E-17,-4.72E-18,1630
Mushi to Uta,7.11,2006,3867,222,727.9245283,1231.598662,-2.52E-17,-9.45E-18,3867
The Full-Time Wife Escapist,7.49,2012,2639,223,817.8950298,1034.537845,-2.48278E-05,3.5311E-05,2639
Inazuma Eleven,7.08,2008,2860,224,758.8679245,1245.474916,-1.89E-17,-1.26E-17,2860
Yasha,7.53,1996,2357,225,573.2075472,1040.887452,1.1497E-06,-1.82E-17,2357
Heat,7.24,1998,4283,226,604.1509434,1171.468227,2.52E-17,1.26E-17,4283
Nobunaga Concerto,7.48,2009,2457,227,758.8772607,1070.589864,1.57693E-05,-2.8617E-05,2457
Tomorrow I Will Be Someone's Girlfriend,7.35,2019,2810,228,929.0566038,1120.588629,-1.26E-17,-1.26E-17,2810
Shoot!,7.96,1990,1024,229,480.3773585,838.4381271,-1.26E-17,-6.30E-18,1024
Wangan Midnight,7.5,1990,2637,230,480.3773585,1051.207358,-1.89E-17,-4.72E-18,2637
Guru Guru Pon-chan,7.07,1998,2182,231,604.8667986,1250.528359,1.38E-07,2.31E-07,2182
Umimachi Diary,7.73,2006,2958,232,738.526411,914.3664223,-3.95213E-05,1.80392E-06,2958
Dr. Kotou Shinryoujo,7.5,2000,1676,233,635.0943396,1051.207358,2.52E-17,-1.89E-17,1676
Mirumo de Pon!,7.21,2001,1651,234,650.5660377,1185.344482,1.26E-17,-9.45E-18,1651
A Sparkling Girl-Revolution,7.06,2004,2713,235,696.9811321,1254.725753,-1.89E-17,-6.30E-18,2713
Hyouge Mono,7.86,2005,2375,236,710.0015543,894.2658641,-1.45913E-05,1.79715E-05,2375
Suteki na Kareshi,7.33,2016,2717,237,882.6414729,1136.737159,2.22989E-06,2.23E-10,2717
Hidamari no Ki,7.98,1981,1278,238,341.1320755,829.187291,-1.26E-17,1.04E-95,1278
The Darwin Incident,7.52,2020,2281,239,944.5285509,1041.956176,9.58E-09,-6.90E-09,2281
Ouke no Monshou,7.16,1976,2254,240,265.2136711,1209.332628,2.78E-07,4.66E-07,2254
Kounodori: Dr. Stork,7.49,2012,2260,241,862.8545952,1050.375178,8.54394E-06,4.76212E-05,2260
Chibi Maruko-chan,7.73,1986,797,242,418.490566,944.8227425,-1.26E-17,-4.72E-18,797
Area 88,7.65,1979,1398,243,310.1886792,981.826087,-1.26E-17,-4.72E-18,1398
Oishinbo,7.32,1983,1923,244,372.0754717,1134.464883,-1.26E-17,-4.72E-18,1923
The Three-eyed One,7.79,1974,694,245,232.8301887,917.0702341,-1.26E-17,-2.36E-18,694
Pin to Kona,7.37,2009,1658,246,777.8425944,1119.512362,7.88344E-06,1.79076E-05,1658
Shitsuren Chocolatier,7.23,2008,1516,247,759.8019201,1176.6521,1.81E-07,3.02E-07,1516
Haikara-san ga Tooru,7.65,1975,1475,248,248.3018868,981.826087,-1.26E-17,-3.15E-18,1475
Kaguya-hime,7.29,1993,1738,249,526.7924528,1148.341137,-1.89E-17,-3.15E-18,1738
Koutarou Breakthrough!,7.51,1982,699,250,356.6037736,1046.58194,-1.89E-17,-6.30E-18,699
Gaku,7.53,2003,1511,251,667.5839244,1041.76983,-1.5039E-05,-2.19623E-05,1511
Be-Bop-Highschool,7.25,1983,1901,252,372.0754717,1166.842809,-1.89E-17,-4.72E-18,1901
Nina the Starry Bride,7.48,2019,1667,253,931.6403883,1058.423586,-4.27798E-06,-9.25558E-06,1667
F,7.38,1985,1108,254,402.2629167,1103.058645,-2.0463E-06,-7.21E-07,1108
Boyfriend,7.23,1985,1391,255,403.0188679,1176.093645,-1.26E-17,-6.30E-18,1391
Nyx no Lantern,7.5,2015,914,256,882.2851804,1055.306807,2.89971E-05,2.58187E-05,914
Kanon,7.15,1995,1057,257,559.4049198,1213.040892,2.62E-08,4.48E-07,1057
Naisho no Tsubomi,7.25,2004,923,258,699.5311403,1170.7462,2.92314E-06,5.18E-07,923
Yami no Purple Eye,6.98,1984,1400,259,387.5471698,1291.729097,-1.89E-17,-1.57E-18,1400
Sexy Voice and Robo,6.99,2000,1642,260,635.0943202,1280.58522,-2.10729E-06,1.25E-10,1642
Dear Boys Act 2,7.31,1997,670,261,576.4361235,1131.520705,-3.24261E-06,-1.03246E-06,670
